/net5 (tsetup=7e-10) X,/net5 (tsetup=7e-10) Y,/net5 (tsetup=6.921053e-10) X,/net5 (tsetup=6.921053e-10) Y,/net5 (tsetup=6.842105e-10) X,/net5 (tsetup=6.842105e-10) Y,/net5 (tsetup=6.763158e-10) X,/net5 (tsetup=6.763158e-10) Y,/net5 (tsetup=6.684211e-10) X,/net5 (tsetup=6.684211e-10) Y,/net5 (tsetup=6.605263e-10) X,/net5 (tsetup=6.605263e-10) Y,/net5 (tsetup=6.526316e-10) X,/net5 (tsetup=6.526316e-10) Y,/net5 (tsetup=6.447368e-10) X,/net5 (tsetup=6.447368e-10) Y,/net5 (tsetup=6.368421e-10) X,/net5 (tsetup=6.368421e-10) Y,/net5 (tsetup=6.289474e-10) X,/net5 (tsetup=6.289474e-10) Y,/net5 (tsetup=6.210526e-10) X,/net5 (tsetup=6.210526e-10) Y,/net5 (tsetup=6.131579e-10) X,/net5 (tsetup=6.131579e-10) Y,/net5 (tsetup=6.052632e-10) X,/net5 (tsetup=6.052632e-10) Y,/net5 (tsetup=5.973684e-10) X,/net5 (tsetup=5.973684e-10) Y,/net5 (tsetup=5.894737e-10) X,/net5 (tsetup=5.894737e-10) Y,/net5 (tsetup=5.815789e-10) X,/net5 (tsetup=5.815789e-10) Y,/net5 (tsetup=5.736842e-10) X,/net5 (tsetup=5.736842e-10) Y,/net5 (tsetup=5.657895e-10) X,/net5 (tsetup=5.657895e-10) Y,/net5 (tsetup=5.578947e-10) X,/net5 (tsetup=5.578947e-10) Y,/net5 (tsetup=5.5e-10) X,/net5 (tsetup=5.5e-10) Y
2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528,2.302402645083583e-11,0.005445301287377528
3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786,3.079911459523492e-11,0.00544606813989786
4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869,4.005611525916926e-11,0.005446598741783869
5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467,5.182138312423428e-11,0.005447009085469467
6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444,6.847395881350458e-11,0.00544742190921444
1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515,1.007919041387992e-10,0.005448167751355515
1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935,1.370728700689444e-10,0.00544908050325935
1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384,1.752139495060687e-10,0.005450131982047384
2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509,2.24224583516625e-10,0.00545148188247509
2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246,2.925897710161676e-10,0.005452984501166246
